,Amoxicillin,Ampicillin,Azithromycin,Cefalexin,Cefotaxime,Chlortetracycline,Ciprofloxacin,Clarithromycin,Doxycycline,Enrofloxacin,Erythromycin_H2O,Lincomycin,Ofloxacin,Oxytetracycline,Roxythromycin,Sulfadiazine,Sulfamethazine,Sulfamethoxazole,Trimethoprim,pH,Salinity,DOC,DO,Temperature,NO3,PO4
1,0,0,0.201209512,0.842948718,0.736778846,2.332016359,0.493626143,0.341770699,0.526393262,0.25668241,3.755050505,0.362052551,1.179021184,0,0,2.731052036,0,1.542088378,0.566061974,8.23,27,6.331,9.67,30.8,0.1,0.016
2,0,0,0,1.879714577,0.131498471,2.419130335,0.717225852,0.327876935,0.735723666,0,1.834834835,0.261195386,0.528963699,0.152472641,0,1.43267674,0,1.54694657,0.45587416,8.29,21,10.95,9.71,30.9,0.06,0.014
3,0,0,0,1.714025501,0.082650273,2.03918095,0.508581534,0.260125105,0.500258553,0,2.3469163,0.121043662,0.221891288,0.175296463,0,1.971070395,0,1.323691902,0.515630185,8.31,24,12.46,9.66,30.9,0.07,0.012
4,0,0,0.399612403,0,0.470750552,2.499817489,0.511310532,0.33318749,0.56531239,0,3.308139535,0,0.41724116,0,0.01393766,0.744156603,0,1.452754583,0.38921361,8.34,21,6.762,9.68,31,0.06,0.015
5,0,0,0.587777778,0,0.468621399,1.932676905,2.648535151,0.289198318,0.560446165,0.105713178,3.342592593,0,0.491306458,0,0,1.519789397,0,1.328278762,0.34482931,8.21,26,15.53,9.78,30.9,0.08,0.01
6,0,0,0.604200965,0,0.824874687,1.874831361,1.237993299,0.479965837,0.59374652,0,2.63034188,0.036737884,1.350742829,0,0.028144765,0.746682884,0,1.580436757,0.38109951,8.26,26,4.458,10.11,30.4,0.08,0.021
7,0,0,0.843690355,0.609562524,0.325493612,1.932705947,0.977267449,0.454427438,0.668968131,0,2.445402299,0,1.090707622,0,0,0.846331215,0,1.301837289,0.630711394,8.32,15,3.433,8.7,30.5,0.13,0.017
8,0,0,0.220552153,0.980676329,0.467391304,3.018755347,0,0.434130346,0.848603212,0,3.04930192,0.212799541,1.074136545,0,0,0.677536232,0,1.286203221,0.54060318,8.05,25,10.04,8.1,30.5,0.16,0.037
9,0,0,0.328606965,1.209634105,0.401057402,2.198737309,1.964309088,0.503108924,0.65085093,0,2.1513267,0,1.066653743,0.176594532,0,0.876177359,0,1.422402469,0.539849799,7.84,20,6.759,8.14,30.6,0.09,0.011
10,0,0,0.406770833,1.72875817,0.25432526,2.319285729,1.275593677,0.563979238,0.663761881,0,3.171875,0.148960225,1.288310139,0,0,0.529157338,0,1.611691991,0.428582436,8.35,17,8.201,8.07,30.8,0.03,0.012
11,0,0,0.228405556,0.544168392,0.345755694,1.515165766,1.521896081,0.03849958,0.509928154,0,0.806719023,0,0.143459916,0,0,0.72625137,0,0.264884171,0,8.2,32,7.297,7.48,30.1,0.11,0.021
12,0,0.278339461,0,0.912758766,0.259505703,2.071992321,0.681584168,0.029824441,0.556149024,0,1.328583765,0,0.145947478,0,0,0.346287184,0,0.15904562,0,8.11,33,5.681,7.43,30.2,0.11,0.021
13,0,0,0.783333333,0.427566807,0,2.086337849,0.364588893,0.052614796,0.669309635,0.115533625,1.135714286,0,0.385126887,0,0,0.696016381,0,0.362548156,0,8.16,29,19.6,7.39,30.2,0.09,0.024
14,0,0,0.402083333,0,0.369598765,2.199899265,1.28901122,0.057716837,0.750568572,0,0.520833333,0,0.660363098,0,0,0.403231663,0,0.317364466,0,8.16,29,13.48,7.45,30.3,0.07,0.028
15,0,0,0.727777778,0,0.392716535,2.858068065,0.624424532,0.566976096,0.889944559,0,4.638888889,0.529274187,2.321080579,0,0.058707555,0.985062529,0,2.095886112,0.799212598,8.3,32,3.274,9.58,27.8,0.14,0.044
16,0,0,0.369444444,0,0.568066158,2.530076918,1.397396313,0.470801052,0.78039237,0,6.606481481,0.802433678,2.490245776,0,0.114351015,0.58610238,0,2.291320943,0.929829712,8.29,33,3.322,9.48,27.6,0.13,0.034
17,0,0,0.204200965,1.517429194,0.460784314,2.037981524,1.377854799,0.611223468,0.586349961,0,8.314102564,0.816734615,2.543812649,0,0.046807537,0.715397924,0.242768394,2.851463856,1.11268556,8.23,33,3.848,9.56,27.6,0.15,0.017
18,0,0,0.229674797,1.262796504,0.196941323,2.339486232,0,0.526648312,0.627140195,0,4.652439024,0.695998813,2.435824007,0,0.074941989,0.400804142,0,3.320102589,1.165756873,8.35,25,3.462,9.57,27.8,0.11,0.02
19,0.277696352,0.289827383,0.952298851,2.398919753,0.791087963,2.774596,0.910342742,0.618354885,0.607304042,0,5.733579639,0.906421892,2.397983871,0,0.074800548,0.69995915,0.24559956,3.42894525,0.852620333,8.24,32,4.005,9.44,27.9,0.13,0.015
20,0,0,0,1.362340216,0.174410029,1.766559824,1.502592488,0.25702089,0.805288111,0.196644225,4.965686275,0.304784018,0.263572773,0,0,1.539953149,0,1.626193705,0.292519078,8.34,30,3.317,8.22,29.4,0.01,0.013
21,0,0,0.545629044,0.477932636,0.714576074,2.17439772,0.879803673,0.764115544,0.549376962,0.100512531,3.903961136,0,0.26783226,0.252311332,0,0.451783152,0,0.933206274,0.334473614,8.27,36,19.14,8.26,29.3,0.01,0.02
22,0,0,0.634596783,1.467447917,0.342773438,2.47078147,0.61398208,0.543379365,0.677828296,0,4.180420712,0,0.335798954,0,0,0.706341912,0,1.272091165,0.348304656,8.33,32,11.29,8.25,29.1,0.01,0.02
23,0,0,0.558814103,0,0.106014271,1.810977988,2.29039317,0.956869767,0.65675617,0,1.923878205,0,2.241555591,0,0.035896373,0.681642382,0,0.764138191,0.119730342,8.47,25,9.395,8.19,29.5,0.02,0.028
24,0.371870018,0.268551465,0,1.22718254,0.534598214,2.695685293,0,0.448033175,0.813288383,0,1.043609672,0,0.248067637,0.176450943,0,1.272584034,0,0.252422428,0.454489589,8.01,23,12.97,7.15,31.4,0.38,0.015
25,0.287445415,0.431756693,0,1.333333333,0.394097222,2.079690326,1.21623367,0.169444971,0.715644144,0,1.174454829,0,1.024676521,0,0,1.399509804,0,0.385919668,0.421896086,8.2,21,3.635,7.27,31,0.49,0.016
26,0.323150022,0,0.237412777,1.32836495,0.475271003,2.388992997,0,0.542961688,0.741396464,0,2.199447077,0,1.360146353,0,0,1.571377331,0,0.355431863,0.41158948,8.22,26,10.93,7.28,31.1,0.49,0.01
27,0,0,0.435313531,0.847736626,0,2.435351958,1.659323092,0.275185012,0.634220532,0,2.346534653,0,0.946998622,0,0,1.104030501,0,0.430085883,0.617858749,8.21,26,7.669,7.29,31.2,0.38,0.021
28,0.351078988,0.276157101,0.416161616,0.951659452,0.084054834,2.153981106,1.328718095,0.237190141,0.655288584,0,2.012626263,0,0.722766429,0,0.021052523,2.643302776,0,0.533988958,0.657000894,7.89,27,6.496,7.31,31.1,0.16,0.023
29,0,0.269918174,4.975757316,3.469079171,0.20285423,2.764292251,16.58235168,7.423593914,1.212756334,0,12.88178295,0.33878342,88.58039151,0.162128742,0.076158473,2.183711099,0,2.906473229,2.945071748,7.44,32,3.829,5.7,30.8,0.19,0.022
30,0,0,7.275472551,4.360082305,0.205106622,2.628271274,29.66228023,10.30041325,1.480024489,0,10.18027211,0.098476514,146.1088563,0,0.1156884,3.269310755,0,4.958639621,4.588741668,7.9,27,4.238,5.68,30.8,0.12,0.015
31,0,0,7.807309942,20.04090354,0.355311355,2.219884858,4.67788851,15.78418579,1.255941281,0,16.67592593,0.245203641,134.3725987,0,0.286759224,0.551766861,0,0.510099804,5.658072697,7.83,24,3.884,5.67,30.6,0.16,0.028
32,0.946286597,0,15.11175973,40.91314554,0.198650235,2.993402234,69.44359524,18.7315747,1.763832026,0.116629763,18.88028765,0.742155906,217.9528157,0.166372402,0.211222066,1.358947804,0,0.321239028,8.601613731,7.88,32,4.765,5.65,30.6,0.1,0.051
33,0,0,0.998401535,0.931097764,0.093593594,2.334814326,0.378165446,0.374245559,0.389807196,0,2.294384058,0,1.295343437,0,0.029268416,0.596316905,0,3.768617499,0.444000681,7.81,28,5.138,6.95,18.967,0.278,0.019
34,0,0,0.855349157,0.870559818,0,2.653035582,0.738770997,0.330535363,0.742932175,0.122548392,1.295808967,0,0.99640779,0,0.014561434,0.45813901,0,3.463185858,0.555271959,7.8,35.66,5.128,7.26,18.966,0.178,0.037
35,0,0,0,0,0.213487973,1.964511227,1.617767857,0.285283344,0.611564336,0,1.617647059,0,1.12672444,0,0.014808981,0.432383263,0,3.471592549,0.827476105,7.81,35.68,5.294,7.31,18.985,0.098,0.03
36,0,0,0.761500754,0.525915996,0.510277033,2.113533573,0,0.357780292,0.770229697,0,3.271367521,0,0.865922921,0,0,0.951860905,0,3.807063685,0.669476072,7.8,35.71,4.741,7.12,19.02,0.148,0.026
37,0.340078975,0,0.603977008,1.515929908,0,0.90358836,1.391613493,0.381482527,0.504253177,0.101818647,0.280201342,0.026722027,0.349169325,0,0.03260271,0.262966477,0,4.803702501,0.499593691,7.79,35.65,4.749,7.11,19.314,0.158,0.014
38,0,0,1.20268047,1.784810127,0.401635021,2.147383334,1.017693839,0.648194519,0.692208158,0,1.267068273,0.490725655,1.284245019,0,0.021125669,1.026433358,0,3.1959091,0.756085686,7.95,34.95,7.056,7.19,20.071,0.048,0.036
39,0,0,1.549047533,3.741602067,0.17005814,1.967956778,0.647650629,0.819222628,0.567902728,0,2.631390593,0.120394888,1.618526289,0,0.024656527,0.91501368,0,3.798262839,0.663496846,7.91,34.98,7.015,7.06,20.047,0.098,0.028
40,0,0,1.165318255,2.378417685,0.244546248,1.459479521,1.036580033,0.638848625,0.43897687,0,1.406028369,0.030428697,2.087258936,0,0,0.737680936,0,3.21031637,0.717012527,7.91,34.98,7.401,7.1,21.047,0.088,0.035
41,0,0,2.095428678,0.944444444,0.547951583,1.93331904,0.352459016,0.973660034,0.792375247,0,4.014767932,0,4.272981178,0,0.0709637,1.087660204,0,2.556131047,0.735722525,7.89,34.89,3.996,7.02,20.02,0.02,0.005
42,0,0,1.40412875,1.422883223,0.427053824,1.675929738,1.818064362,0.716017625,0.730006322,0,1.367443869,0,2.869242534,0.169436441,0.055447056,0.630019997,0,3.187853817,0.829781744,7.9,35.27,4.555,6.65,19.92,0.068,0.004
43,0,0,0.141869754,0.732377539,0.143966547,1.466019515,0,0.035601727,0.727356764,0,1.112068966,0,0,0,0,0.431636095,0,4.674323041,0.147700724,8.01,34.21,2.809,8.01,15.652,0.118,0.065
44,0.272798063,0,0,0,0.071113074,1.605002556,0,0.048781227,0.451943029,0,0.399122807,0,0,0,0.014261916,0.56396799,0,5.363424961,0.331819287,8.04,34.25,2.362,8.44,15.731,0.078,0.026
45,0,0,0,0,0.338112306,1.686883515,0.571829522,0.060569365,0.407548054,0,0.24513382,0,0,0,0,0.581857474,0,5.102872207,0.260161363,8.02,34.25,2.679,8.02,15.851,0.018,0.029
46,0,0,0.138006408,0,0,1.438357531,0.526356892,0.063874903,0.413484571,0,0.263888889,0,0.156567259,0,0,0.531938962,0,4.753920156,0.409208373,8.05,34.2,2.656,8.41,16.62,0.078,0.018
47,0.264596811,0.273652169,0.368279743,1.085978836,0,1.352964407,1.531907739,0.550526737,0.428585537,0,1.257600434,0,0.613690194,0,0.061166602,1.880952381,0,1.573981595,0.380084827,8.25,34.34,2.685,8.07,15.749,0.108,0.013
48,0,0,0.374956113,0.887835703,0,1.167076044,1.172702416,0.405409348,0.469837571,0,3.072695035,0,0.675990112,0,0.044601787,3.770630053,0,1.490961438,0.357973406,7.99,35.44,2.647,7.86,17.81,0.118,0.053
49,0.369424854,0.419226703,0.444198367,1.196502058,0.123649691,1.203525116,2.017938713,0.351158769,0.45396399,0,1.500487329,0,0.547357569,0,0.022975149,0.865059913,0,1.760029445,0.167547608,7.97,35.48,2.653,7.84,17.93,0.128,0.057
50,0.630717735,0,0.432908569,1.544589058,0.070137383,1.322958985,1.111160277,0.394718672,0.257972069,0,1.809670782,0,0.507799829,0.190299973,0.023787365,0.748086002,0,1.539201831,0.452558687,8.01,35.47,2.656,7.89,17.998,0.048,0.035
51,0,0.27041718,0.750764415,1.271825397,0,1.745779748,1.281116256,0.421519515,0.584043289,0,1.479166667,0,0.432963064,0,0.030654534,0.983718487,0,1.664776972,0.2873048,8.02,35.4,2.673,7.84,17.88,0.108,0.016
52,0,0,0.750755696,4.447089947,0.088095238,1.55657401,2.439321548,1.022007562,0.431326957,0.123231207,1.355769231,0.092880717,1.562952899,0,0.063432127,0.943277311,0,2.374108581,0.669269327,8,35.43,2.727,7.78,17.982,0.048,0.033
53,0.560200458,0,0.578367122,1.331679315,0,0.85963618,0.377537283,1.329174244,0.482428646,0,1.527777778,0,1.361780816,0,0.02935185,0.939038838,0,3.539456305,1.021692889,7.91,34.54,3.753,8.14,16.158,0.128,0.015
54,0,0,1.026090144,1.742490047,0.128528773,1.331708085,0.980300188,1.41126806,0.562386677,0,2.163043478,0,1.887449187,0,0.028075171,0.734671393,0,3.79827396,0.837944586,7.86,34.54,3.813,7.7,16.189,0.108,0.027
55,0,0,0.558081703,0.647746818,0.195820433,1.265881133,1.30548399,1.252362525,0.544954784,0.124917736,3.356837607,0,1.523773923,0,0.042271326,0.247814606,0,3.272924247,0.537151703,7.88,34.54,2.73,7.8,16.099,0.088,0.008
56,0,0,1.023315971,2.279985283,0.093405077,1.085455029,0.463872293,1.544498131,0.458248901,0,2.516169154,0,2.614381068,0,0,0.503116478,0,3.753411045,0.704922648,7.9,34.54,2.81,8.11,16.164,0.128,0.018
