,Denitrification_Bacteria,Denitrification_Fungi,Denitrification_Archaea,DNR_Bacteria,DNR_Fungi,DNR_Archaea
HKDryMB1,286.53052,0,6.943959,308.196026,0,3.727159
HKDryMB2,377.040777,0,5.569984,359.003765,0.010943,4.614553
HKDryMB3,341.094598,0,8.139967,343.176084,0,5.065854
HKDryMB4,307.686455,0,8.874819,305.056289,0.017077,6.258223
HKDryMB5,399.89579,0,7.571295,392.433649,0,6.174631
HKDryMCLM1,216.716654,0,1.312863,192.850132,0,1.162844
HKDryMCLM2,331.914186,0,2.219631,320.90432,0,1.008436
HKDryMCLM3,259.031884,0,1.587134,245.181963,0.008182,1.247268
HKDryMCLM4,336.19478,0,0.853491,323.242622,0.008484,0.305483
HKDryMCLM5,273.693743,0,0.822743,253.458797,0,0.397832
HKDryMCSK2,241.84,0.015244,0.979733,276.385774,0.315113,0.248681
HKDryMCSK3,287.279045,0,1.002024,330.848763,0.327145,0.136852
HKDryMCSK4,363.856009,0,0.492412,406.896873,0.041849,0.058579
HKDryMCSK5,303.755405,0.016745,0.564192,335.742313,0.200793,0.020407
HKDryME1,249.821572,0,0.101396,265.81158,0,0
HKDryME2,174.865038,0,0.090065,172.800674,0,0
HKDryME3,146.949824,0,0.132416,137.969121,0,0.013844
HKDryME4,209.693236,0,0.146706,223.322551,0,0.02908
HKDryME5,220.457461,0,0.134417,217.613121,0,0
HKDryMP1,368.574244,0.009772,3.390215,379.8357,0.009772,3.607205
HKDryMP2,379.555101,0,3.37401,376.449208,0,3.695213
HKDryMP3,406.734813,0,3.351803,414.073191,0.027988,3.235801
HKDryMP4,353.024068,0,3.236417,367.015964,0,2.301574
HKDryMP5,388.355181,0,3.500124,389.061578,0,2.275881
HKDryMR1,366.376955,0,12.857785,477.873569,0.259487,8.830488
HKDryMR2,378.291734,0.008642,12.723921,498.428408,0.125005,8.189627
HKDryMR3,433.275539,0,11.967492,598.440907,0.104214,6.436878
HKDryMR4,365.914705,0,12.029212,483.640265,0.185473,7.393724
HKDryMR5,403.617552,0.008379,11.582606,533.755686,0.239872,7.05245
HKDryWWTP1,627.489614,0,2.24007,794.162983,0,1.376146
HKDryWWTP2,696.014425,0,2.910335,886.176068,0,0.937647
HKDryWWTP3,663.601109,0,1.419188,985.132335,0,1.251144
HKDryWWTP4,660.009255,0,1.388496,986.543361,0,0.868142
HKWetMB1,274.678191,0,1.216546,239.397397,0.05423,0.336122
HKWetMB2,192.384443,0,1.427467,177.270485,0.047218,1.012431
HKWetMB3,224.414161,0,1.926179,197.306035,0.105293,0.568825
HKWetMB4,270.687769,0,2.24106,233.566973,0.023821,0.444152
HKWetMB5,222.427791,0,2.255999,190.941078,0.040697,1.228988
HKWetMCLM1,178.559515,0,1.189986,145.197222,0.02014,1.111287
HKWetMCLM2,221.070791,0,1.737856,187.130879,0.084914,1.277105
HKWetMCLM3,203.509116,0,0.5608,169.153798,0.036884,0.765397
HKWetMCLM4,202.275946,0,1.384438,178.763008,0.168081,1.423758
HKWetMCLM5,203.189699,0,0.968496,183.40113,0.064309,0.483665
HKWetMCSK2,292.735129,0,0.602652,307.356581,0.04602,0
HKWetMCSK3,315.850276,0,0.171837,317.323531,0.022845,0
HKWetMCSK4,265.475754,0,0.708004,265.564981,0.080829,0
HKWetMCSK5,300.313315,0,0.790027,348.690645,0.021766,0
HKWetME1,249.720088,0,0.028961,243.281338,0,0
HKWetME2,328.086469,0,0.059532,317.71995,0,0
HKWetME3,331.966079,0,0.117529,338.781574,0.022122,0
HKWetME4,278.467157,0,0.041069,277.493938,0.027703,0
HKWetME5,312.547851,0,0.179156,292.177918,0,0.030061
HKWetMP1,246.811129,0,2.507018,209.227476,0,1.112416
HKWetMP2,256.267966,0,2.484393,221.777608,0,0.903862
HKWetMP3,208.276038,0,1.490254,194.601136,0,0.222074
HKWetMP4,146.072622,0,0.742045,106.9397,0.019021,0.205078
HKWetMP5,164.355531,0,1.394047,124.627494,0,0.615516
HKWetMR1,299.09186,0,3.185531,258.129012,0.056289,0.951435
HKWetMR2,204.685063,0,3.334399,164.772799,0,1.122903
HKWetMR3,148.609665,0,4.03319,130.12239,0,1.876211
HKWetMR4,175.352593,0,4.798654,152.182108,0.063996,2.248794
HKWetWWTP1,262.838701,0,3.438933,259.440724,0.026574,3.129469
HKWetWWTP2,385.375657,0,2.81511,449.683269,0.053297,5.337579
HKWetWWTP3,455.231017,0,1.501623,562.605519,0.07555,5.287693
HKWetWWTP4,568.914119,0,1.725482,717.274063,0.038397,4.617683
QDDryMB1,335.819639,0.134591,2.05408,381.898159,0.146749,0.33326
QDDryMB2,326.254964,0.202423,1.636663,393.56188,0.202423,0.228559
QDDryMB3,369.148461,0.204657,0.937924,422.530648,0.204657,0.366184
QDDryMB4,276.737548,0.212084,2.837677,310.494512,0.212084,0.467384
QDDryMB5,372.763518,0.160529,1.252876,406.292564,0.170652,0.26809
QDDryMC1,443.118399,0,0.228384,500.229187,0,0
QDDryMC2,557.797927,0,0.358737,632.88743,0,0.107835
QDDryMC3,397.826724,0,0.241116,445.330108,0,0
QDDryMC4,609.453691,0.012975,0.416811,646.372949,0.012975,0.032871
QDDryMC5,457.549755,0,0.145812,561.83687,0,0.156083
QDDryME1,878.173211,0,0,555.606468,0,0.01195
QDDryME2,607.600805,0,0,494.920906,0,0
QDDryME3,561.103654,0,0.085924,454.639797,0,0
QDDryME4,614.796153,0,0.010725,494.721107,0,0
QDDryME5,662.649658,0,0,484.178098,0,0
QDDryMP1,329.345182,0.19584,0.377083,315.911537,0.204644,0.330001
QDDryMP2,270.355671,0.119896,0.477218,253.634317,0.119896,0.307857
QDDryMP3,318.92692,0.143111,0.271682,302.175659,0.143111,0.166152
QDDryMP4,427.563255,0.094407,0.372739,436.718744,0.094407,0.176346
QDDryMP5,429.646872,0.067988,0.237644,412.089692,0.067988,0.254636
QDDryMR1,281.377619,0.14499,0.818749,289.70621,0.16289,0.263926
QDDryMR2,204.999093,0.183853,0.457527,208.780696,0.183853,0.376586
QDDryMR3,294.189816,0.13967,0.634259,292.174808,0.14927,0.382312
QDDryMR4,298.086276,0.251415,0.419288,297.301367,0.261852,0.359414
QDDryMR5,295.149971,0.142937,0.475221,313.917515,0.152109,0.35554
QDDryWWTP1,274.493745,0.017317,0.527876,259.305839,0.017317,0.016443
QDDryWWTP2,265.808305,0.031429,0.343719,255.926847,0.031429,0.113264
QDDryWWTP3,340.508597,0.009744,0.345651,332.321143,0.009744,0.082612
QDDryWWTP4,311.668314,0.037461,0.555621,305.312596,0.046346,0.162862
QDDryWWTP5,312.022617,0.042775,0.205377,300.437262,0.042775,0.121069
QDWetMB1,316.228007,0,2.295382,333.310358,0.275101,1.076217
QDWetMB2,295.254402,0,2.364247,314.165501,0.400036,0.936079
QDWetMB3,320.459312,0,3.410942,339.189063,0.572741,1.289408
QDWetMB4,328.105107,0,3.324203,331.574359,0.504906,1.277286
QDWetMB5,350.640027,0,3.386527,361.975966,0.428228,0.804256
QDWetMC1,329.411874,0,1.515048,406.800437,0,0.684542
QDWetMC2,262.116068,0,1.755155,233.422117,0,1.522282
QDWetMC3,275.850999,0,2.018394,239.276609,0,0.152429
QDWetMC4,313.357219,0,2.102455,295.404941,0.047511,0.283579
QDWetMC5,285.838132,0,2.177693,243.193059,0.04042,0.21302
QDWetME1,287.636142,0,2.156854,234.892807,0,0.060185
QDWetME2,175.176996,0,1.013002,154.934868,0,0
QDWetME3,194.187145,0,0.848348,167.870442,0,0.050111
QDWetME5,370.562155,0,0.147697,533.835589,0.043128,0
QDWetMP1,283.277465,0,1.009501,305.337974,0.283844,0.393777
QDWetMP2,312.786819,0,0.667031,363.903992,0.392121,0.279532
QDWetMP3,334.345106,0,1.248277,340.815269,0.204123,0.174616
QDWetMP4,273.744263,0,0.791689,303.160331,0.215239,0.601168
QDWetMP5,269.35006,0,1.008594,272.021008,0.36696,0.642278
QDWetMR1,284.827141,0,0.705079,267.412515,0.14156,0.23464
QDWetMR2,298.980518,0,0.876333,279.587204,0.117991,0.549268
QDWetMR3,289.786197,0,0.434586,282.143765,0.191045,0.258681
QDWetMR4,220.988243,0,0.319581,211.482587,0.061209,0.217129
QDWetMR5,194.917826,0,0.849732,188.558654,0.044559,0.447247
QDWetWWTP2,334.107601,0,0.63193,362.974279,0.285098,0.040846
QDWetWWTP3,311.810369,0,0.361281,337.174265,0.303098,0.052742
QDWetWWTP5,352.898875,0,0.92765,420.252381,0.225962,0.251528
